Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Percent HHs with Income < $50,000",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,philt50,TimeFrame,GeoVintage,Source,Location
Census Tract,39061000200,OH,39061000200,39061000200,92.23,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061000700,OH,39061000700,39061000700,28.07,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061000900,OH,39061000900,39061000900,37.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001000,OH,39061001000,39061001000,19.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001100,OH,39061001100,39061001100,33.64,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001600,OH,39061001600,39061001600,69.17,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001700,OH,39061001700,39061001700,41.24,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001800,OH,39061001800,39061001800,32.3,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001900,OH,39061001900,39061001900,37.61,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002000,OH,39061002000,39061002000,32.69,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002200,OH,39061002200,39061002200,85.54,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002300,OH,39061002300,39061002300,52.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002500,OH,39061002500,39061002500,75.91,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002600,OH,39061002600,39061002600,57.52,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002700,OH,39061002700,39061002700,33.12,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002800,OH,39061002800,39061002800,47.81,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002901,OH,39061002901,39061002901,60.8,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002902,OH,39061002902,39061002902,69.76,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003000,OH,39061003000,39061003000,59.97,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003200,OH,39061003200,39061003200,67.25,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003300,OH,39061003300,39061003300,82.3,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003600,OH,39061003600,39061003600,81,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003700,OH,39061003700,39061003700,75.66,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003800,OH,39061003800,39061003800,69.29,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003900,OH,39061003900,39061003900,55.43,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004000,OH,39061004000,39061004000,37.24,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004100,OH,39061004100,39061004100,30.88,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004200,OH,39061004200,39061004200,40.85,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004602,OH,39061004602,39061004602,34.5,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004603,OH,39061004603,39061004603,26.92,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004604,OH,39061004604,39061004604,42.98,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004605,OH,39061004605,39061004605,31.34,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004703,OH,39061004703,39061004703,16.84,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004800,OH,39061004800,39061004800,9,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004900,OH,39061004900,39061004900,23.58,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005000,OH,39061005000,39061005000,23.85,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005100,OH,39061005100,39061005100,18.78,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005200,OH,39061005200,39061005200,24.08,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005301,OH,39061005301,39061005301,37.65,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005302,OH,39061005302,39061005302,20.22,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005500,OH,39061005500,39061005500,51.37,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005600,OH,39061005600,39061005600,42.55,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005701,OH,39061005701,39061005701,41.66,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005702,OH,39061005702,39061005702,40.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005800,OH,39061005800,39061005800,49.11,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005900,OH,39061005900,39061005900,37.93,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006000,OH,39061006000,39061006000,45.96,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006100,OH,39061006100,39061006100,62.46,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006300,OH,39061006300,39061006300,41.24,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006400,OH,39061006400,39061006400,66.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006501,OH,39061006501,39061006501,25.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006502,OH,39061006502,39061006502,32.38,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006600,OH,39061006600,39061006600,79.95,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006800,OH,39061006800,39061006800,74.91,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006900,OH,39061006900,39061006900,60.63,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007000,OH,39061007000,39061007000,36.29,2018-2022,2022,Census,"Hamilton (County, 2022)"
