Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent White Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,ppopwh,TimeFrame,GeoVintage,Source,Location
Census Tract,39061000200,OH,39061000200,39061000200,7.24,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061000700,OH,39061000700,39061000700,72.55,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061000900,OH,39061000900,39061000900,62,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001000,OH,39061001000,39061001000,71.53,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001100,OH,39061001100,39061001100,66.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001600,OH,39061001600,39061001600,41.23,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001700,OH,39061001700,39061001700,38.51,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001800,OH,39061001800,39061001800,66.54,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061001900,OH,39061001900,39061001900,71.25,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002000,OH,39061002000,39061002000,82.99,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002200,OH,39061002200,39061002200,32.28,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002300,OH,39061002300,39061002300,27.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002500,OH,39061002500,39061002500,84.51,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002600,OH,39061002600,39061002600,85.15,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002700,OH,39061002700,39061002700,73.4,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002800,OH,39061002800,39061002800,61.34,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002901,OH,39061002901,39061002901,78.32,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061002902,OH,39061002902,39061002902,60.28,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003000,OH,39061003000,39061003000,68.91,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003200,OH,39061003200,39061003200,64.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003300,OH,39061003300,39061003300,70.84,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003600,OH,39061003600,39061003600,6.56,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003700,OH,39061003700,39061003700,31.42,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003800,OH,39061003800,39061003800,18.17,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061003900,OH,39061003900,39061003900,24.98,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004000,OH,39061004000,39061004000,48.76,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004100,OH,39061004100,39061004100,57.36,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004200,OH,39061004200,39061004200,72,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004602,OH,39061004602,39061004602,85.37,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004603,OH,39061004603,39061004603,90.86,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004604,OH,39061004604,39061004604,86.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004605,OH,39061004605,39061004605,77.49,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004703,OH,39061004703,39061004703,90.92,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004800,OH,39061004800,39061004800,85.65,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061004900,OH,39061004900,39061004900,89.07,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005000,OH,39061005000,39061005000,85.4,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005100,OH,39061005100,39061005100,89.64,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005200,OH,39061005200,39061005200,92.2,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005301,OH,39061005301,39061005301,82.39,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005302,OH,39061005302,39061005302,83.06,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005500,OH,39061005500,39061005500,53.16,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005600,OH,39061005600,39061005600,65.88,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005701,OH,39061005701,39061005701,67.71,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005702,OH,39061005702,39061005702,63.63,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005800,OH,39061005800,39061005800,28.98,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061005900,OH,39061005900,39061005900,55.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006000,OH,39061006000,39061006000,45.39,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006100,OH,39061006100,39061006100,47.95,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006300,OH,39061006300,39061006300,4.86,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006400,OH,39061006400,39061006400,11.52,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006501,OH,39061006501,39061006501,74.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006502,OH,39061006502,39061006502,46.68,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006600,OH,39061006600,39061006600,32.53,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006800,OH,39061006800,39061006800,20.75,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061006900,OH,39061006900,39061006900,4,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007000,OH,39061007000,39061007000,66.21,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007100,OH,39061007100,39061007100,72.46,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007200,OH,39061007200,39061007200,67.45,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007300,OH,39061007300,39061007300,33.24,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007400,OH,39061007400,39061007400,76.36,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007500,OH,39061007500,39061007500,78.96,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061007700,OH,39061007700,39061007700,14.64,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008000,OH,39061008000,39061008000,5.31,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008100,OH,39061008100,39061008100,24.95,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008201,OH,39061008201,39061008201,30.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008202,OH,39061008202,39061008202,33.45,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008300,OH,39061008300,39061008300,33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008400,OH,39061008400,39061008400,51.62,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008501,OH,39061008501,39061008501,19.2,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008502,OH,39061008502,39061008502,9.35,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008601,OH,39061008601,39061008601,15.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061008800,OH,39061008800,39061008800,10.43,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009200,OH,39061009200,39061009200,49.77,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009300,OH,39061009300,39061009300,43.04,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009400,OH,39061009400,39061009400,36.18,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009500,OH,39061009500,39061009500,37.3,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009600,OH,39061009600,39061009600,51.54,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009700,OH,39061009700,39061009700,44.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009800,OH,39061009800,39061009800,29.34,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009901,OH,39061009901,39061009901,72.7,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061009902,OH,39061009902,39061009902,71.6,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010002,OH,39061010002,39061010002,17.64,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010003,OH,39061010003,39061010003,27.54,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010004,OH,39061010004,39061010004,15.48,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010005,OH,39061010005,39061010005,58.41,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010100,OH,39061010100,39061010100,47.61,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010201,OH,39061010201,39061010201,54.33,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010202,OH,39061010202,39061010202,65.87,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010300,OH,39061010300,39061010300,65.55,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010400,OH,39061010400,39061010400,92.06,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010500,OH,39061010500,39061010500,92.03,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010600,OH,39061010600,39061010600,88,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010700,OH,39061010700,39061010700,80.45,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061010900,OH,39061010900,39061010900,46.15,2018-2022,2022,Census,"Hamilton (County, 2022)"
Census Tract,39061011000,OH,39061011000,39061011000,18.48,2018-2022,2022,Census,"Hamilton (County, 2022)"
